lon,lat,speed,heading
-117.88795455947478,34.12136601032429,34.99997501913,303.13139568660154
-117.89020302127443,34.121358432042314,34.99997501913,269.80688934587823
-117.88783660195067,34.12128902264521,34.99997501913,0.0
-117.88609034562991,34.12108406021252,49.999999819968004,269.18310725153765
-117.88716844639578,34.1210762438372,49.999999819968004,269.5846051832974
-117.88729983438755,34.12107629377021,49.999999819968004,270.02177482421916
-117.88735328575949,34.121077216633154,49.999999819968004,270.98914016207243
-117.88738442900218,34.12107817623732,49.999999819968004,271.7648733328825
-117.88744548855624,34.12108503706601,49.999999819968004,276.4110296515871
-117.88746776221706,34.12108806077981,49.999999819968004,277.7308087823745
-117.88748643820566,34.12109127865113,49.999999819968004,279.77607073963827
-117.88750294632676,34.121095039646654,49.999999819968004,282.83445953628365
-117.88751871638539,34.12109969273215,49.999999819968004,286.4391281174778
-117.88753517818714,34.12110558687252,49.999999819968004,289.6998827749586
-117.88757589624593,34.1211224941735,49.999999819968004,292.5496207195699
-117.8875887421736,34.12112804191327,49.999999819968004,293.35795060541784
-117.887635640341,34.12115054833173,49.999999819968004,295.6363369672509
-117.8876544205051,34.121160681151174,49.999999819968004,298.3490376477338
-117.8876649350364,34.12116725633501,49.999999819968004,302.01949469601783
-117.88767490568782,34.12117437325245,49.999999819968004,305.5187376094899
-117.88769083048416,34.12118735017234,49.999999819968004,309.17616594472616
-117.8877186446394,34.12121203484849,49.999999819968004,311.588609518077
-117.88783660195067,34.12128902264521,49.999999819968004,303.13148307837923
-117.89294666252131,34.12125418622959,49.999999819968004,241.1015870249595
-117.89297000291508,34.12123860252786,49.999999819968004,236.2701166730291
-117.89299337318508,34.12122385439816,49.999999819968004,237.74546295292768
-117.89301670894919,34.12120994001542,49.999999819968004,239.1937045538614
-117.89303994582518,34.12119685755461,49.999999819968004,240.62030238004365
-117.89306301943104,34.12118460519078,49.999999819968004,242.03115726305015
-117.89308586538466,34.121173181098975,49.999999819968004,243.43271182221673
-117.89310841930401,34.12116258345435,49.999999819968004,244.83208850231279
-117.89313061680706,34.121152810432044,49.999999819968004,246.23727015185437
-117.8931523935118,34.121143860207276,49.999999819968004,247.65733964020862
-117.89317368503617,34.12113573095528,49.999999819968004,249.10279612973335
-117.89319442699822,34.12112842085138,49.999999819968004,250.58597842700073
-117.89321455501587,34.12112192807089,49.999999819968004,252.12163454452664
-117.8932340047071,34.121116250789136,49.999999819968004,253.72770079253021
-117.89325271168984,34.12111138718155,49.999999819968004,255.42638031909573
-117.89327061158204,34.12110733542355,49.999999819968004,257.2456581832449
-117.8932876400015,34.12110409369055,49.999999819968004,259.2214670223931
-117.89330373256611,34.121101660158,49.999999819968004,261.4008319942659
-117.89331882489365,34.12110003300139,49.999999819968004,263.84651041315806
-117.89333285260186,34.12109921039621,49.999999819968004,266.64393572867664
-117.89438263896518,34.12113130195727,49.999999819968004,271.75096441781454
-117.89467023318934,34.121139204405665,49.999999819968004,271.57396429188145
-117.8948029833083,34.12114213756164,49.999999819968004,271.2657624617392
-117.89490326733474,34.12114354896483,49.999999819968004,270.80633087929004
-117.89498370018745,34.12114373540775,49.999999819968004,270.1328110694625
-117.89505689678761,34.121142993634834,49.999999819968004,269.41938556581033
-117.89513547205708,34.121141620356354,49.999999819968004,268.99873011422136
-117.89285300841438,34.12130588268962,49.999999819968004,0.0
-117.891909474684,34.121347981747164,34.99997501913,262.5049587536622
-117.89275935419253,34.121357579079614,34.99997501913,270.6469896802824
-117.89285300841438,34.12130588268962,34.99997501913,241.10164960521996
-117.89046952710638,34.12116899094578,34.99997501913,202.12116654532178
-117.89047278605801,34.12025980186418,34.99997501913,180.20537353395102
-117.89040068740265,34.12133834318686,34.99997501913,0.0
-117.89034868368967,34.12148256398957,34.99997501913,19.82849226443001
-117.89034234833305,34.12192215027238,34.99997501913,0.8256947070046863
-117.89034279265692,34.12195046678501,34.99997501913,359.1010265300668
-117.89034498859596,34.12199321766485,34.99997501913,357.0595328408523
-117.89035782428395,34.12214148584346,34.99997501913,355.0521969967324
-117.89035912233379,34.12216510002131,34.99997501913,356.8536696462951
-117.89035946574202,34.122176328351024,34.99997501913,358.2482068633664
-117.89036342326595,34.12247103215139,34.99997501913,359.2306316051836
-117.89040068740265,34.12133834318686,34.99997501913,0.0
-117.89057382558133,34.12135349679365,34.99997501913,275.0019635432225
-117.89075996215101,34.12136341393895,34.99997501913,273.04977059219607
-117.89089680463175,34.12136952658157,34.99997501913,272.55765577212617
-117.8910002775834,34.12137294127268,34.99997501913,271.89012112813253
-117.89114895795801,34.12137575302486,34.99997501913,271.0834135421914
-117.89165992583612,34.12138081337177,34.99997501913,270.5674075714561
-117.89040068740265,34.12133834318686,34.99997501913,0.0
-117.89044132113366,34.12247008860327,34.99997501913,0.0
-117.89046017271448,34.12147982591844,34.99997501913,181.0906051323683
-117.89040068740265,34.12133834318686,34.99997501913,157.1960603000059
-117.89035508131477,34.12019414965471,34.99997501913,333.78121800484286
-117.8903611579554,34.121169127720606,34.99997501913,359.6429033987049
-117.89040068740265,34.12133834318686,34.99997501913,346.8512592185757
-117.89040068740265,34.12133834318686,34.99997501913,264.1969409789359
-117.8917847002856,34.12136439762251,34.99997501913,0.0
-117.8917847002856,34.12136439762251,34.99997501913,262.5050186963549
-118.00970541862395,34.13575000745315,34.99997501913,209.02208574731202
